filename,UIQM,UCIQE
131_img_.png,0.0011909260647371411,0.23939067125320435
133_img_.png,0.0015744653064757586,0.1643032729625702
135_img_.png,0.001282361801713705,0.2540205717086792
136_img_.png,0.0017903619445860386,0.3172968626022339
137_img_.png,0.0014510037144646049,0.18785083293914795
138_img_.png,0.0011079864343628287,0.2619902193546295
139_img_.png,0.00043275245116092265,0.31526675820350647
13_img_.png,0.0006977004813961685,0.23977449536323547
1407.png,0.0013605740386992693,0.3787389397621155
140_img_.png,0.000692568311933428,0.3334924578666687
141_img_.png,0.0015114224515855312,0.24283328652381897
142_img_.png,0.0008664007764309645,0.3593944311141968
143_img_.png,0.00037147002876736224,0.30919167399406433
144_img_.png,0.0014770160196349025,0.22432419657707214
145_img_.png,0.0014759935438632965,0.22128665447235107
146_img_.png,0.001577170449309051,0.2851640284061432
148_img_.png,0.001523633603937924,0.19877873361110687
1491.png,0.001062679337337613,0.3281370997428894
149_img_.png,0.005668927449733019,0.39573919773101807
14_img_.png,0.0013063986552879214,0.380400151014328
15001.png,0.0003409634518902749,0.3992779850959778
15003.png,0.0002761678188107908,0.3964967131614685
15045.png,0.0005004517734050751,0.21677042543888092
15094.png,0.0006190125131979585,0.23252330720424652
150_img_.png,0.0015151291154325008,0.23645997047424316
15113.png,0.0003484452608972788,0.2058759331703186
15136.png,0.0005072804051451385,0.21627792716026306
151_img_.png,0.001108722877688706,0.23828285932540894
152_img_.png,0.0026718960143625736,0.2870885133743286
1539.png,0.0013797545107081532,0.3180304169654846
153_img_.png,0.0013313883682712913,0.24978183209896088
15418.png,0.00025457347510382533,0.32092729210853577
15426.png,0.00023121281992644072,0.39002370834350586
154_img_.png,0.001664706040173769,0.18354164063930511
15544.png,0.00036212141276337206,0.3381717801094055
155_img_.png,0.002515009604394436,0.33101731538772583
156_img_.png,0.002263555768877268,0.22224760055541992
15704.png,0.0006066937348805368,0.1880701184272766
1573.png,0.0021061100997030735,0.4731515347957611
157_img_.png,0.00171621423214674,0.23328974843025208
158_img_.png,0.0022713528014719486,0.22287864983081818
159_img_.png,0.00156454648822546,0.18749921023845673
15_img_.png,0.002800503745675087,0.37633103132247925
160_img_.png,0.00033415743382647634,0.21034657955169678
161_img_.png,0.0025579489301890135,0.2577984631061554
162_img_.png,0.0020202607847750187,0.27521225810050964
163_img_.png,0.00289040501229465,0.27601635456085205
164_img_.png,0.001878461567685008,0.24205346405506134
165_img_.png,0.0018883520970121026,0.24110352993011475
1660.png,0.0006042078603059053,0.3282889723777771
166_img_.png,0.002547784708440304,0.35223284363746643
168_img_.png,0.0003064786724280566,0.3214258551597595
169_img_.png,0.0008050074684433639,0.29190361499786377
16_img_.png,0.001685095950961113,0.19741085171699524
170_img_.png,0.0014327655080705881,0.23320922255516052
171_img_.png,0.0011611881200224161,0.2353796511888504
172_img_.png,0.0010661029955372214,0.29159098863601685
173_img_.png,0.001221564132720232,0.30879369378089905
1742.png,0.0005548318731598556,0.297696977853775
174_img_.png,0.0005357981426641345,0.1514594554901123
175_img_.png,0.0010286644101142883,0.11836181581020355
176_img_.png,0.00456208037212491,0.3138551115989685
177_img_.png,0.001606835052371025,0.5152203440666199
178_img_.png,0.0013196916552260518,0.1649741232395172
179_img_.png,0.0017520191613584757,0.24235829710960388
17_img_.png,0.003815059084445238,0.3318815231323242
180_img_.png,0.002089104615151882,0.3704221248626709
182_img_.png,0.0017090330366045237,0.3730396032333374
183_img_.png,0.0015532874967902899,0.21837925910949707
184_img_.png,0.0004485450335778296,0.335046648979187
185_img_.png,0.002199492882937193,0.3042985498905182
186_img_.png,0.0008203835459426045,0.3671702742576599
187_img_.png,0.0015373693313449621,0.21192435920238495
188_img_.png,0.0021651950664818287,0.2757530212402344
189_img_.png,0.0007694765808992088,0.30885037779808044
18_img_.png,0.0005453024059534073,0.29552701115608215
190_img_.png,0.0018885780591517687,0.20561528205871582
191_img_.png,0.001931381644681096,0.26766037940979004
192_img_.png,0.0026573259383440018,0.2893672585487366
193_img_.png,0.005518059246242046,0.4022633731365204
194_img_.png,0.0020695424173027277,0.25633156299591064
