index,filename,width,height,mse,psnr,error
155,222_img_.png,1200,736,543.5217895507812,20.778635025024414,
156,223_img_.png,640,480,1813.9119873046875,15.544641494750977,
157,224_img_.png,640,480,2042.6363525390625,15.028894424438477,
158,225_img_.png,500,280,1008.1695556640625,18.095468521118164,
159,226_img_.png,640,480,1522.267578125,16.305892944335938,
160,227_img_.png,600,371,2065.9130859375,14.979682922363281,
161,228_img_.png,1024,685,1937.01171875,15.259481430053711,
162,229_img_.png,1024,612,776.3865356445312,19.230024337768555,
163,22_img_.png,640,480,1884.2442626953125,15.379432678222656,
164,230_img_.png,640,480,513.3896484375,21.026334762573242,
165,231_img_.png,640,480,2883.449462890625,13.531681060791016,
166,232_img_.png,640,480,1886.5406494140625,15.374141693115234,
167,233_img_.png,640,480,1844.8638916015625,15.471160888671875,
168,234_img_.png,640,480,1426.525390625,16.588008880615234,
169,236_img_.png,640,480,1647.09326171875,15.963622093200684,
170,238_img_.png,640,480,2917.18017578125,13.481170654296875,
171,23_img_.png,640,480,690.898193359375,19.736663818359375,
172,240_img_.png,2048,1305,317.4434814453125,23.114139556884766,
173,241_img_.png,640,480,2403.64501953125,14.322100639343262,
174,242_img_.png,640,480,2924.283447265625,13.470610618591309,
175,243_img_.png,640,480,2715.258056640625,13.792692184448242,
176,244_img_.png,500,257,1257.7685546875,17.134796142578125,
177,245_img_.png,640,480,2574.96923828125,14.023083686828613,
178,246_img_.png,900,566,697.4297485351562,19.695798873901367,
179,247_img_.png,640,480,1272.13720703125,17.085464477539062,
180,248_img_.png,640,480,1616.052734375,16.046249389648438,
181,24_img_.png,640,480,1393.3765869140625,16.69011878967285,
182,251_img_.png,640,480,1094.903076171875,17.73704719543457,
183,252_img_.png,640,480,2504.0380859375,14.144393920898438,
184,253_img_.png,640,480,1197.6336669921875,17.347562789916992,
185,2546.png,1280,720,519.8518676757812,20.972007751464844,
186,254_img_.png,640,480,1886.5069580078125,15.374220848083496,
187,255_img_.png,640,480,141.18138122558594,26.63302993774414,
188,257_img_.png,640,480,426.6060485839844,21.830535888671875,
189,258_img_.png,640,640,2338.85888671875,14.440764427185059,
190,259_img_.png,720,480,533.1500854492188,20.8623104095459,
191,25_img_.png,640,480,1190.5833740234375,17.373207092285156,
192,260_img_.png,640,480,919.6323852539062,18.494661331176758,
193,261_img_.png,640,480,2131.984130859375,14.842964172363281,
194,2629.png,1280,720,2268.806640625,14.572829246520996,
195,262_img_.png,640,480,1749.0347900390625,15.70281982421875,
196,263_img_.png,600,336,1584.7236328125,16.131267547607422,
197,265_img_.png,640,480,1463.707763671875,16.476259231567383,
198,266_img_.png,640,480,1747.447998046875,15.70676040649414,
199,2677.png,1280,720,2204.229736328125,14.698234558105469,
200,267_img_.png,640,480,1383.298583984375,16.72164535522461,
201,268_img_.png,649,451,2606.730712890625,13.969841003417969,
202,26_img_.png,640,480,1431.776611328125,16.572052001953125,
203,2701.png,1280,720,2832.090576171875,13.609732627868652,
204,270_img_.png,640,480,2326.41943359375,14.463924407958984,
205,271_img_.png,640,480,1292.0,17.018178939819336,
206,272_img_.png,640,480,1589.3048095703125,16.118732452392578,
207,273_img_.png,640,480,1447.0972900390625,16.525827407836914,
208,274_img_.png,470,263,1397.943115234375,16.6759090423584,
209,275_img_.png,640,480,1340.2978515625,16.85879135131836,
210,276_img_.png,640,480,1273.102294921875,17.082170486450195,
211,2774.png,1280,720,1267.1962890625,17.10236358642578,
212,277_img_.png,640,480,544.1080322265625,20.773954391479492,
213,2787.png,1280,720,1781.67919921875,15.622509002685547,
214,278_img_.png,700,325,70.83238220214844,29.62848663330078,
